Title,Author,Headlines
Latest Headlines on CNN Business,[],
Travel News - CNN,[],Tampa International says it's the first airport in the country to offer Covid-19 testing to all flyers
Alex Cora Re-Hired as Red Sox Manager After 1-Year Suspension,['Paul Kasabian'],"Frank Augstein/Associated Press

The Boston Red Sox have rehired Alex Cora to lead their team, the club announced Friday.

He replaces Ron Roenicke, who Boston fired after one season in charge. He served as Cora's bench coach when Cora managed the Sox in 2018 and 2019.

A Major League Baseball report uncovered that Cora, a former Houston Astros bench coach, played an integral role in Houston's illegal sign-stealing schemes during its 2017 World Series-winning campaign.

The Sox fired Cora on Jan. 14, one day after the report dropped. In April, MLB suspended him for the entire 2020 season.

Boston named Roenicke the interim manager in February and removed the interim tag in April.

Roenicke was in a no-win situation this season, however, as the team sank to a 24-36 record with a roster that had lost much of its talent from its World Series-winning team in 2018. Some remaining talent also struggled mightily in 2020.

The Red Sox went 108-54 in 2018 with an 11-3 mark in the postseason en route to a World Series title under Cora. In 2020, though, they finished dead last in the American League East during a season shortened to 60 games because of the COVID-19 pandemic.

In between, the Sox finished third in the AL East with an 84-78 record in 2019, 19 games behind the New York Yankees for first.

Video Play Button Videos you might like

A litany of reasons has caused the decline, including the trade of 2018 AL MVP Mookie Betts to the Los Angeles Dodgers as a cost-cutting measure, the decline of slugger J.D. Martinez (1.031 OPS in 2018 versus .680 OPS in 2020) and Tommy John surgery for staff ace Chris Sale. As well, starting pitcher Eduardo Rodriguez missed the 2020 season because of COVID-19 and myocarditis, Boston lost Andrew Benintendi to a rib injury and the pitching staff finished 2020 with a 5.58 ERA.

Other reasons have played into Boston's decline as well, but anything that could have gone wrong for the Sox lately has gone wrong as the team scuffles its way into a new decade.

The Red Sox will hope Cora helps restore the glory days and change the franchise's fortunes after a rough couple of years."
"Report: Steelers, Mike Tomlin Fined $350K Total for Mask Violations vs. Ravens",['Tim Daniels'],"Keith Srakocic/Associated Press

The Pittsburgh Steelers were fined $250,000 and head coach Mike Tomlin was docked $100,000 for mask violations amid the coronavirus pandemic during Sunday's Week 8 win over the Baltimore Ravens.

ESPN's Adam Schefter reported the news Friday.

On Thursday, Yahoo Sports' Charles Robinson reported the Las Vegas Raiders will be fined $500,000 and lose a sixth-round draft pick for COVID-19 violations as a ""repeat offender"" following offensive tackle Trent Brown's positive test. Head coach Jon Gruden will be fined $150,000.

Meanwhile, the NFL announced nine players from five different teams were added to the reserve/COVID-19 list Thursday.

The concern is amplified as the United States surpassed 100,000 cases of the coronavirus each of the past two days, including a single-day record of 121,000 positive tests Thursday, per CNN's Christina Maxouris.

After making it through the first three weeks of the regular season unscathed, the NFL went through a rough patch where multiple games were postponed either for a few days or multiple weeks. All games over the last three weeks were completed.

Thursday night's contest between the Green Bay Packers and San Francisco 49ers moved forward even though three members of the Niners were among those added to the reserve list. The Packers won 34-17.

NFL Commissioner Roger Goodell said in October that ""flexibility is going to be critical"" in order to finish the season.

Video Play Button Videos you might like

""We cannot grow complacent—not the players, not of the coaches, not the rest of personnel,"" Goodell told reporters. ""Ninety percent is not good enough in this environment.""

The league has managed to remain on course to finish the regular season in its typical 17 weeks. Whether that will remain possible as teams continue to use their bye weeks and reduce the flexibility in the remaining schedule is unclear.

ESPN's Chris Mortensen reported Monday the NFL competition committee is considering an alternative plan that would allow eight playoff teams in each conference, an increase of one in both the AFC and NFC, should games be canceled because of COVID-19 concerns.

For now, Super Bowl LV remains on track to take place Feb. 7 in Tampa, Florida."
Dolphins Assistant Tests Positive for COVID-19; MIA in NFL's Intensive Protocol,['Tim Daniels'],"Matt Patterson/Associated Press

The Miami Dolphins announced Friday they've entered the NFL's intensive coronavirus protocol after an assistant coach tested positive for COVID-19 ahead of Sunday's Week 9 game against the Arizona Cardinals.

Here's the team's full statement:

The Dolphins are still expected to have a walkthrough practice later Friday and remain scheduled to face the Cardinals, per Tom Pelissero and Mike Garafolo of the NFL Network.

Miami joined the Atlanta Falcons, who also announced a positive test among its staff, in entering the more intensive protocols. The Falcons are going to work virtually Friday.

A troublesome trend is beginning to develop after nine players from five teams were added to the reserve/COVID-19 list Thursday. The United States continues to see a rise in cases, reaching an all-time high of more than 121,000 new positives Thursday, per CNN's Christina Maxouris.

The NFL showed a greater tolerance of playing despite coronavirus concerns by allowing Thursday night's game between the Green Bay Packers and San Francisco 49ers after three members of the Niners roster were put on the reserve list earlier in the day.

After the league played the first three weeks of the regular season without issue, the next two weeks were filled with schedule alterations that included moving bye weeks around to keep the campaign within the typical structure of 17 weeks.

Such changes will become harder moving forward as teams use their bye week, so there will be additional pressure to play games if the league office wants to avoid adding a week to the end of the season to ensure each club plays its full slate.

Video Play Button Videos you might like

Preparations are being made in case that's not possible, though. ESPN's Chris Mortensen reported Monday the NFL competition committee is considering a 16-team playoff field, with one extra team from each conference, if the coronavirus ultimately leads to an unbalanced schedule.

That said, so far no changes have been made to the Week 9 schedule.

The Dolphins and Cardinals are set for a 4:25 p.m. ET kickoff Sunday at State Farm Stadium."
"NBA Players, Owners Agree to 72-Game 2020-21 Season Starting Dec. 22",['Joseph Zucker'],"Mark J. Terrill/Associated Press

The NBA will be back before the year is over.

On Thursday, the National Basketball Players Association confirmed its representatives tentatively approved a 72-game season that will begin Dec. 22.

Shams Charania of The Athletic and Stadium first reported the sides had agreed to a deal.

Charania and ESPN's Adrian Wojnarowski provided more details:

This news was widely expected. The New York Times' Marc Stein reported Wednesday that ""all the momentum on the player side"" pointed toward training camps on Dec. 1 ahead of the regular season three weeks later.

The Athletic's David Aldridge also spoke to an agent who referenced the potential consequences of eschewing the tabled proposal:

With the COVID-19 pandemic putting the 2019-20 season on hold, one question among many was how it would disrupt the league's calendar going forward. The NBA Finals didn't conclude until Oct. 11, which made the traditional mid-to-late October start for the next year all but impossible.

One line of thinking was that the NBA would stand by until the development of a COVID vaccine allowed for fans to return to arenas in big numbers again. Some stadiums have admitted fans in other leagues, albeit well below capacity.

The drawback to that approach is that it's unclear when a vaccine will be forthcoming.

Video Play Button Videos you might like

In a September interview with Bob Costas for CNN, NBA Commissioner Adam Silver said that January was his ""best guess"" on a start date. He added that one goal would be to play games in home arenas with fans but that a number of logistical issues needed to be resolved on that front.

However, Charania reported on Oct. 23 that the NBA league office told its board of governors Dec. 22 was the new tentative target.

ESPN's Wojnarowski and Brian Windhorst provided some more context. The plan would see the regular season shortened from 82 games to 72 and the 2021 All-Star Game canceled. The report stated the NBA was ""abandoning plans to delay the opening with hopes of incorporating fans back into arenas.""

Windhorst explained one reason behind Dec. 22 specifically during the Oct. 26 episode of his Hoop Collective podcast. TNT would be able to air the Los Angeles Lakers' season opener, when their players will collect their NBA championship rings, and ESPN would have its regular slate of Christmas Day games.

Wojnarowski and Zach Lowe provided the possible financial ramifications: ""The league believes that a Dec. 22 start that includes Christmas Day games on television and allows for a 72-game schedule that finishes before the Summer Olympics in mid-July is worth between $500 million and $1 billion in short- and long-term revenues to the league and players, sources said.""

Any proposal from the league needed the players' approval, and Charania noted how a Christmas-time opening was ""quicker than expected,"" alluding to a level of resistance that could grow.

Lakers swingman Danny Green posited on The Ringer NBA Show that some of his teammates, including LeBron James, might choose to sit out for an extended period to allow themselves a little extra rest:

Not every team was in the same position as the Lakers and Eastern Conference champion Miami Heat, though. The eight franchises that didn't travel to the Walt Disney World Resort bubble haven't played since March, and those that didn't make deep postseason runs will have had a slightly more traditional offseason in terms of length.

Without a further reduction in the number of games, a December start was arguably the only alternative if the NBA wanted to revert back to its regular October-April regular-season calendar for 2021-22."
"Report: Raiders Fined $500K, Jon Gruden Fined $150K After Trent Brown COVID Test",['Blake Schuster'],"Isaac Brekken/Associated Press

The Las Vegas Raiders have been fined $500,000 and stripped of a sixth-round draft pick after the NFL concluded the organization again broke COVID-19 protocols, according to Charles Robinson of Yahoo Sports.

The league began investigating after a positive test was confirmed for offensive tackle Trent Brown in late October. Head coach Jon Gruden has also been fined $150,000.

This is the first time the NFL has revoked a draft pick from a team for violating COVID-19 protocols.

The Raiders were one of the first teams penalized for not properly wearing masks on game day this season. Gruden was fined $100,000 while the organization was forced to pay $250,000. In total, the NFL has now taken $1.2 million in fines from Las Vegas as well as a pick.

According to ESPN's Adam Schefter, the league found multiple violations of the health and safety guidelines agreed to by the NFL and Players Association, including Gruden's failure to consistently wear a face mask, players attending a large indoor gathering and allowing unauthorized personnel into its locker room following a game.

The penalties come at the end of a week where multiple teams have seen COVID-19 outbreaks shut down their facilities including a number of clubs that have already been fined for not adhering to the the coronavirus protocols.

The San Francisco 49ers and Denver Broncos have both had employees test positive this week with multiple Niners starters forced to miss Thursday's game against the Green Bay Packers.

Video Play Button Videos you might like

Las Vegas is scheduled to face AFC West rival Los Angeles Chargers on Sunday."
Study: NFL to Absorb $2.7 Billion Deficit Because of Reduced Fan Attendance,['Adam Wells'],"Adam Hunger/Associated Press

While it was already known the NFL was going to see reduced profits in 2020 because of limited tickets sales as a result of the coronavirus pandemic, there's now a rough estimate of just how significant the financial losses could be.

Per a study conducted by Team Marketing Report (h/t The Athletic's Bill Shea), the NFL is looking at a potential $2.7 billion deficit by not having full fan attendance in stadiums this season.

Using the ticket sale price for all 32 teams coming into this season, the Fan Cost Index study estimated the cost to attend a single game is $553.

That figure includes ""four adult non-premium tickets, single-car parking, two draft beers, four soft drinks, four hot dogs and two adult-sized adjustable hats.""

Shea cited the Las Vegas Raiders as the ""easiest"" example of how the FCI projected number was determined:

""It's 59 percent higher than last year, when the club was still playing in Oakland, because of a nearly 75 percent surge in the average ticket price at the new stadium—not an uncommon practice when a team gets a new venue. That said, the Raiders opted this season to not have any fans at games until the health crisis has lifted and officials permit full attendance at the $2 billion stadium.""

Video Play Button Videos you might like

The Raiders had the highest estimated average FCI at $783.36. No other team in the NFL had an average higher than $667.22 (San Francisco 49ers).

The Washington Football Team is estimated to lose the most money this season by not having full attendance at FedEx Field ($124.1 million).

Per Statista, the league's 32 teams earned 15.02 percent of their total revenue from gate receipts in 2019.

The NBA and NHL finished their seasons in isolated locations without fans in the stands. The WNBA held a reduced regular season and playoffs at IMG Academy in Florida. Major League Baseball didn't allow fans in the stands until the National League Championship Series and World Series.

The NFL is allowing teams to work with local health officials in their cities to determine fan attendance capacity for games. There are currently 17 teams that allow reduced percentage capacity."
Joe Biden's lead in Pennsylvania continues to grow,[],Democratic presidential nominee Joe Biden is in the lead in Pennsylvania as votes continue to be counted. CNN's John King reports.
What if Trump loses and refuses to concede?,[],"President Trump hasn't said whether or not he will peacefully pass the presidential torch if he loses the election. His opponent, former Vice President Joe Biden, says it won't matter.

Source: CNN"
